קטגוריה,שם הזכות,תיאור הזכות,מקור,מעניק הזכות,איש קשר,זכאות,תנאים,חוקה,משוואה,תהליך מימוש,מידע נוסף,תנאים במבנה חדש
דיור,סיוע בהוצאות דיור לחיילים בודדים,סיוע בשכר דירה ובהוצאות אחזקת דירה,כל זכות,"צה""ל","משקית ת""ש",כל מי שהוגדר חייל בודד,בעל דירה###שוכר דירה,שווה###שווה,בשירות חובה וגם בעל דירה או שוכר דירה,"1. הגשת בקשה באמצעות סגל הת""ש###2. צרוף חוזה שכירות###3. קבלת תשלום מראש עד 3 חודשים במקרה הצורך",,"[{""service"": {""serviceType"": ""MANDATORY""}, ""housing"": {""housingStatus"": ""OWNER"", ""idfRentAssistance"": true}}, {""service"": {""serviceType"": ""MANDATORY""}, ""housing"": {""housingStatus"": ""RENTER"", ""idfRentAssistance"": true}}]"
"  סיוע בשכר דירה",לינה קבועה בבית החייל לחיילים בודדים,,,,,,,,,,,"[{""service"": {""serviceType"": ""MANDATORY""}, ""discharge"": {""monthsSinceDischarge"": {""lte"": 3}}, ""housing"": {""housingStatus"": ""NONE""}}]"
לעולה חדש,"סיוע אוטומטי בסך 402 ש""ח לעולה חדש","סיוע אוטומטי בסך 402 ש""ח לעולה חדש",כל זכות,משרד הבינוי והשיכון,shaulg@moia.gov.il,חייל בודד מובהק,,שווה,בשירות חובה,ההטבה מתקבלת אוטומטית,,"[{""service"": {""serviceType"": ""MANDATORY"",""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}]"
דיור,לינה קבועה בבית החייל לחיילים בודדים,לינה קבועה במתקני האגודה למען החייל,כל זכות,"צה""ל והאגודה למען החייל","משקית ת""ש",כל מי שהוגדר חייל בודד,אינו בעל דירה###אינו שוכר דירה,שווה###שווה,בשירות חובה או עד שלושה חודשים אחרי וגם אינו בעל דירה או שוכר דירה,1. עדכון טלפון ומייל באזור האישי###2. בחירה בהטבה באתר,בבית החייל יינתנו שירותי כביסה ומזון,"[{""service"": {""serviceType"": ""MANDATORY""}, ""discharge"": {""monthsSinceDischarge"": {""lte"": 3}}, ""housing"": {""housingStatus"": ""NONE""}}]"
דיור,לינה בחופשות בבית החייל לחיילים בודדים,לינה חינם בבתי החייל בזמן חופשות,כל זכות,"צה""ל והאגודה למען החייל",,כל מי שהוגדר חייל בודד,,שווה,בשירות חובה,"1. הצגת תעודת חייל בודד, תעודת חוגר ואישור חופשה.",בכפוף לזמינות מקום. ארוחות מסופקות או דמי כלכלה.,"[{""service"": {""serviceType"": ""MANDATORY""}}]"
דיור,לינה בקיבוצים לחיילים בודדים,מגורים בקיבוץ עם סיוע מגורים ושירותי ליווי,כל זכות,"צה""ל",,כל מי שהוגדר חייל בודד,אינו בעל דירה###אינו שוכר דירה,שווה###שווה,בשירות חובה וגם אינו בעל דירה או שוכר דירה,"פנייה לרכזת תנאי השירות (משקית ת""ש)","עדיפות ליחידות סגורות, מענק בסך 150 ש""ח, ייתכן זכאות גם לחיילים שאינם בודדים","[{""service"": {""serviceType"": ""MANDATORY""}, ""housing"": {""housingStatus"": ""NONE""}}]"
דיור,דירות אל״ח לחיילים בודדים,מגורים בדירות מרוהטות ומאובזרות במהלך השירות.,כל זכות,צה״ל והאגודה למען החייל,,כל מי שהוגדר חייל בודד,,,בשירות חובה,פנייה לרכזת תנאי שירות ביחידה (משקית ת״ש),החיילים אינם משלמים שכר דירה או מסים. ניתנים שירותי כביסה ומזון.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
דיור,הנחה בחשבון החשמל,50% הנחה עד 400 קוט״ש עבור מגורים לחייל בודד.,כל זכות,חברת חשמל,,כל מי שהוגדר חייל בודד,בעל דירה###שוכר דירה###זכאי להשתתפות בשכר דירה מטעם צה״ל,שווה###שווה###שווה,בשירות חובה וגם בעל דירה או שוכר דירה וגם זכאי להשתתפות בשכר דירה,הנתונים מועברים מצה״ל לחברת החשמל. במידת הצורך יש לעדכן את החשבון.,מופיע בחשבון החשמל כסעיף נפרד. ההנחה ניתנת אוטומטית במידה וקיימת התאמה.,"[{""service"": {""serviceType"": ""MANDATORY""}, ""housing"": {""housingStatus"": ""OWNER"", ""idfRentAssistance"": true}}, {""service"": {""serviceType"": ""MANDATORY""}, ""housing"": {""housingStatus"": ""RENTER"", ""idfRentAssistance"": true}}]"
דיור,הנחה בארנונה,פטור מארנונה עד 70 מ״ר במהלך השירות ועד 4 חודשים לאחר השחרור.,כל זכות,הרשות המקומית,,כל מי שהוגדר חייל בודד,בעל דירה###שוכר דירה###זכאי להשתתפות בשכר דירה מטעם צה״ל,בשירות חובה,,"פנייה לרשות המקומית",במקרים מסוימים תיתכן הנחה רטרואקטיבית עד 90 מ״ר בדירות עם 5 נפשות ומעלה.,"[{""discharge"":{""monthsSinceDischarge"":{""lte"":4}},""housing"":{""housingStatus"":""OWNER"",""idfRentAssistance"":true}},{""discharge"":{""monthsSinceDischarge"":{""lte"":4}},""housing"":{""housingStatus"":""RENTER"",""idfRentAssistance"":true}},{""service"":{""isActive"":true},""housing"":{""housingStatus"":""OWNER"",""idfRentAssistance"":true}},{""service"":{""isActive"":true},""housing"":{""housingStatus"":""RENTER"",""idfRentAssistance"":true}}]"
דיור,הבית של בנג׳י,הוסטל עם מגורים וליווי אישי לחיילים בודדים משוחררים.,כל זכות,הבית של בנג׳י,,מי שהוכר כחייל בודד,,,משוחרר,פנייה ישירה לגוף עצמו לצורך קבלת סיוע,"כולל ליווי אישי, תעסוקתי וחברתי.","[{""discharge"": {""monthsSinceDischarge"": {""gte"": 0}}, ""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
